itemid,hasbird
00016765-bad0-4e2c-ad4e,0.774
0005ae67-efdc-446f-aeee,0.108
000a3cad-ef99-4e5e-9845,0.997
00270340-40d5-4947-9255,0.280
002d0637-e8fb-44a8-916b,0.345
002db260-d9e3-454c-9234,0.385
00321696-0d20-4715-8d89,0.395
00346b3a-9553-4902-8830,0.376
00356818-1324-481c-95ec,0.247
0036e9e0-7075-46f2-9fa1,0.281
003bc57f-22a1-45ce-9105,0.310
00532be1-e92d-462f-8f84,0.827
0056c188-b8a5-46d7-ab1e,0.983
005f8371-94f4-4aed-a11b,0.985
00601007-0afb-45f7-9b71,0.999
006b3059-768e-466f-a66f,0.502
006ccae6-5867-43fa-99a5,0.918
0070e5b1-110e-41f2-a9a5,0.764
007d39bf-968e-483e-a346,0.358
00832ad8-cdaa-4210-965f,0.550
008a3414-01fb-474b-962e,0.204
008a3895-4001-44ea-8107,0.304
008ec2cf-e0db-46e9-a5cd,0.193
008eef8a-2ee9-4f51-a2c1,0.216
00905c8b-43a4-45a7-bce0,0.995
00907bde-dac1-42d5-bedf,0.266
00925c3e-9015-4f31-9e46,0.439
00993842-81ed-4b49-8f5e,0.197
0099a408-95a0-42c2-91fc,0.905
00a2f240-0ff7-4c1e-9d28,0.220
00a776dd-e97b-47c2-b60a,0.367
00b2e034-e2b5-4c0a-89db,0.494
00bde04a-5e55-4a6d-a84b,0.377
00c156aa-8c61-4c14-bf2f,0.252
00c96faa-51ed-4461-8fc3,0.994
00c97460-cd86-4ed3-85f6,0.285
00c99011-6d85-4c82-b4a0,0.428
00ca2a97-1a03-4ff0-a206,0.340
00ccd4e2-39b6-4d79-8a8d,0.327
00d0fa72-7115-497a-8e0b,0.374
00d6a9ea-8420-4796-99c8,0.957
00d6c2b0-d099-4d8f-9786,0.224
00d77de4-a558-433b-b002,0.232
00dc6beb-f678-42c2-8846,0.481
00df820a-21ff-4359-9996,0.920
00e004b1-94d2-4bf6-85eb,0.377
00e377c5-c44d-4105-a7d1,0.962
00e4e537-210d-4e27-8abc,0.585
00ec942d-7980-4e0f-b59c,0.794
00ec94d8-f2f4-426b-aa1d,0.380
00f683c8-c7ee-4a4c-9b8d,0.284
01057746-b2af-439d-841d,0.305
010e43bc-efbf-4202-a130,0.319
01147910-4964-4367-b662,0.477
012f3dbe-c753-4b90-ba03,0.384
013416d7-98fb-4d6a-ac05,0.120
0138439a-f168-4bc8-8ef3,0.228
013d3638-4ffc-42b3-a727,0.998
01530c35-c96d-400f-a6b4,0.533
015345dc-e036-479e-9172,0.280
015a5772-01b3-4452-bcb2,0.199
015e5478-99a0-4c4a-a3b8,0.428
015e55aa-e471-4da4-8925,0.309
015edbf5-f750-43d7-ba1f,0.225
0164b7cd-f9eb-4aff-8020,0.303
0167e001-0c35-422e-a452,0.268
016f3937-3872-44ac-9d4d,0.365
018bacbd-7741-4a37-bb75,0.358
0199970b-b287-4182-9151,0.095
0199a1f3-b735-46fc-bfb5,0.285
01a070f3-75c8-4c16-80cb,0.227
01a7176e-e73c-4ed5-94b2,0.527
01aadc7f-84ac-4350-862f,0.016
01c8e225-7aa9-45c9-a1c3,0.332
01ed18d5-5144-43da-a536,0.587
01f30f70-4f9b-4305-811b,0.060
01f64d73-805c-44ce-935b,0.276
01f9c61d-5509-409e-abd3,0.065
0200a29b-556e-4adf-8328,0.268
0202dde7-fb47-4d2a-9c75,0.336
02056ebb-eed4-4fd7-bdc8,0.271
0209abcd-2949-47e2-b4a6,0.312
02185a02-7e62-45c4-ab2c,0.234
02424689-fd4d-497e-8d21,0.022
024b7c2e-087d-4675-bbd4,0.276
0250a685-e388-46ba-994d,0.150
0256ecdf-748e-4092-a6f2,0.233
026d1b8b-fea0-4cb5-8082,0.211
02793bf2-21d8-4e1c-a003,0.469
027ad54c-5996-49b7-b9bc,0.221
02855556-6787-4511-a210,0.401
028b159e-da58-447a-9154,0.360
028b90d7-f603-4e54-998d,0.199
028cf84b-3012-4719-b187,0.342
028dcfbf-a14d-4f03-b0ac,0.414
02919e4e-f4e3-432f-a72a,0.335
029ab3eb-e72c-4d2c-8890,0.272
02a25347-8c6d-419a-9316,0.871
02a6bc2a-1bf4-4bee-86d2,0.285
02a7e863-18ff-49c2-a7fb,0.890
02af9b8d-1106-4268-b639,0.288
02b8271c-9cd8-4c02-bfd7,0.986
02c4b2dd-9c31-45d4-914e,0.204
02d0d759-ab34-455e-8089,0.814
02d96356-9929-4ddb-a611,0.403
02f282d6-ada0-494a-b906,0.381
02f46986-403c-4a99-a8d6,0.285
02f4b55e-65a1-4e65-b852,0.240
02fd9ebc-17d6-4ef3-a4d3,0.310
0316c9c2-b5b6-4c14-a1a7,0.343
031ec3ef-bb74-498b-adb1,0.404
03217e18-ef5e-4d21-843e,0.228
03283361-6c6e-44d6-90a2,0.308
032cdff6-a2b5-4e0f-a766,0.361
03324608-4cd4-4ee4-86b9,0.981
0352fcde-04b6-419f-8864,0.293
0355b2af-e22b-4e8b-aed2,0.113
0357a5ee-bfc5-4751-8621,0.262
035c07f9-250a-4d37-893d,0.998
035c27d9-9315-465f-9f3a,0.323
035e15b4-6f38-4ff7-be52,0.386
0362610b-9207-470e-b7c9,0.407
036bdf99-02b6-496f-ba97,0.298
03710ab6-5d10-462e-b7e1,0.895
037a5cf2-e7f5-4317-92da,0.119
0396e447-1674-41d7-810a,0.299
0397bc19-eb2f-4584-8f3e,0.218
039e7771-1e45-4585-a584,0.979
039ec79e-ab6d-4c07-bbd3,0.170
03a5045b-9875-42b3-af45,0.695
03a910b6-a6ae-424e-8cbd,0.815
03b35555-336d-4ea0-acfb,0.303
03b70757-fbd7-4a0d-a35e,0.238
03c43150-b24b-4388-8d2c,0.317
03c4dc24-e3ab-456e-80f9,0.275
03c7379e-4b69-4d93-b784,0.208
03c7c8f5-12b9-45d3-ac05,0.994
03cb520c-d97f-41b6-9d7f,0.336
03d5ce43-00c7-4127-bfe3,0.483
03d7355e-f2cc-47fc-b1c1,0.101
03e2ffd4-f535-403f-8d26,0.329
03e31cd9-0c06-4925-8e09,0.281
03fb5357-88c8-4494-ab4a,0.450
03fbbd7c-cb51-420b-b0ca,0.249
0409f402-8a1c-425a-990c,0.408
040b8c4a-4df3-45d0-936e,0.640
040cded7-2606-442d-8d73,0.253
041515c1-b92a-4421-ad6f,0.905
041a3262-f219-4277-939a,0.368
041faa95-295c-44ad-9b1d,0.258
041fd112-e050-42e3-8254,0.367
0425c371-9044-4b48-87d5,0.337
042767c1-5279-42ce-8627,0.602
043f304e-994b-4a83-a9ec,0.206
04401ba5-6325-4e57-9465,0.229
044141d6-c72d-40e3-8a09,0.795
04479dc4-5f9d-4abc-bc75,0.342
044fecb5-7a33-47b5-987f,0.348
045c3ea0-c930-4ab7-9afc,0.333
046f7e9e-c217-4122-9569,0.336
04790a95-7b7b-4d05-9726,0.336
047a6680-7ac4-4a90-88cd,0.153
047b205c-46f0-47e0-8e03,0.587
047f0fec-1a93-48c5-8cf2,0.228
049a2b67-f76d-415d-ab06,0.413
04b010b5-de80-4173-bb92,0.279
04b2a17f-6f19-48c4-a3e7,0.156
04bc335c-af74-4f02-8f46,0.984
